القرية:,Y,X,المحاصيل الرئيسية:,توقيت المحاصيل:,مستوى الانتاج:,المنتجات التقليدية الرئيسية:,نسبة المشاركين في تحضير المؤونة:,انواع الحيوانات:,عدد الطيور:,نوع العلف:
مزبود,33.612411,35.485018,افوكا خضره الزيتون والحمضيات والافوكادو وخروب,حزيران تموز اب ايلول,إنتاج صغير,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات العسل منتجات الألبان اللبنة، الجبنة)",بعض المنازل (30–60%),ارانب  دجاج بيّاض دجاج  (لحم)   بط,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
داريا الشوف,33.652113,35.502321,الخضروات خضار فول حمص زعتر زيتون البندورة خيار خس بقدونس شتول,حزيران تموز اب ايلول,إنتاج صغير  ,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) أخرى الأعشاب المجففة الزعتر) منتجات الألبان اللبنة، الجبنة)",معظم المنازل (60–80%),اغنام  دجاج بيّاض بط  ديك رومي  دجاج (لحم),بين 51 و100,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
علمان,33.598699,35.407042,أشجار الحمضيات و الافوكاتو القشطة الموز العنّاب الكلمنتين الليمون حمضيات زيتون قشطة ليمون كارونبولا مونستر فروت كلمنتين افندي,كل السنة,إنتاج صغير ,"أخرى الأعشاب المجففة (مثل الزعتر) زيت الزيتون الخضروات المخللة الخيار، المقدوس) العسل منتجات الألبان اللبنة، الجبنة)",معظم المنازل (60–80%),الماعز  دجاج بيّاض  دجاج  (لحم)  , و50,علف تجاري جاهز مخلفات منزلية أو زراعية الحبوب مزيج بين الاثنين
كفرفاقود,33.703354,35.537408,الفاصوليا والقرع بصل واشجار الجنارك والزيتون فاصوليا فول باستا فلورا زيتون,كل السنة,إنتاج متوسط,"الأعشاب المجففة (مثل الزعتر) منتجات الألبان اللبنة، الجبنة) زيت الزيتون",بعض المنازل (30–60%),دجاج بيّاض   أخرى  ,أقل من 20,مخلفات منزلية أو زراعية مزيج بين الاثنين
نيحا الشوف,33.610511,35.621215,اشجار مثمرة زيتون وخضار,حزيران تموز اب ايلول,إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) العسل دبس العنب المربيات أو المحفوظات منتجات الألبان اللبنة، الجبنة)",بعض المنازل (30–60%), النحل  ,,
عين زحلتا,33.750281,35.693978,التفاح والاجاص تفاح بقوليات,حزيران تموز اب ايلول,إنتاج متوسط,"المربيات أو المحفوظات زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) أخرى",معظم المنازل (60–80%),دجاج بلدي  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية
الدبيه,33.675032,35.482801,أشجار مثمرة وخضار بندوره خيار فول جميع الشتول,حزيران تموز اب ايلول,إنتاج صغير  إنتاج متوسط,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) الأعشاب المجففة الزعتر) المربيات أو المحفوظات",معظم المنازل (60–80%),دجاج بيّاض,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
السعديات,33.696166,35.425372,لا يوجد محصولان محصول واحد اشجار جوافة,حزيران تموز اب ايلول,إنتاج صغير  إنتاج كبير,"الخضروات المخللة (مثل الخيار، المقدوس) المربيات أو المحفوظات",عدد قليل من المنازل (< 30%),دجاج بيّاض,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية
المشرف,33.72226,35.45055,مو ز وليمون أفوكادو قشطة وليتشي موز افوكادو,كل السنة,إنتاج كبير  إنتاج متوسط,"زيت الزيتون الأعشاب المجففة (مثل الزعتر) الخضروات المخللة الخيار، المقدوس)",معظم المنازل (60–80%),دجاج بيّاض,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
حاره جندل الشوف,33.618407,35.609278,زيتون وخضروات,من شهر ايلول تشرين الثاني,إنتاج صغير,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) المربيات أو المحفوظات",بعض المنازل (30–60%),دجاج بيّاض,أقل من 20,مزيج بين الاثنين
ديردوريت,33.688431,35.531821,فاصولياء وفواكة,ايارالى شهر تشرين الثاني,إنتاج متوسط,"الخضروات المخللة (مثل الخيار، المقدوس)",عدد قليل من المنازل (< 30%),دجاج بيّاض,أقل من 20,مزيج بين الاثنين
عانوت,33.631719,35.512598,البندورة و اللوبيا خيار كوسا ملفوف خس فول حمص لوبية لقطين فاصولياء,حزيران تموز اب ايلول,إنتاج صغير ,"زيت الزيتون الأعشاب المجففة (مثل الزعتر) العسل الخضروات المخللة الخيار، المقدوس)",بعض المنازل (30–60%),دجاج بيّاض,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
عين قاني,33.65322,35.61163,مقتي لوبية,,إنتاج صغير,"زيت الزيتون الخضروات المخللة (مثل الخيار، المقدوس) المربيات أو المحفوظات العسل منتجات الألبان اللبنة، الجبنة)",جميع المنازل تقريباً,دجاج بيّاض,بين 20 و50,مزيج بين الاثنين
كترمايا الشوف,33.626041,35.454315,خصار,كانون الاول,إنتاج صغير,"زيت الزيتون الأعشاب المجففة (مثل الزعتر) منتجات الألبان اللبنة، الجبنة)",عدد قليل من المنازل (< 30%),دجاج بيّاض,أقل من 20,علف تجاري جاهز
مختاره,33.663353,35.612749,تفاح زيتون,حزيران تموز اب ايلول,إنتاج متوسط,العسل أخرى,بعض المنازل (30–60%),دجاج بيّاض,أقل من 20,مزيج بين الاثنين
جديده الشوف,33.665327,35.604515,خس و مقتي,حزيران تموز اب ايلول,إنتاج متوسط,زيت الزيتون العسل,عدد قليل من المنازل (< 30%),دجاج بيّاض ديك رومي,بين 51 و100,مزيج بين الاثنين
كفرنبرخ,33.700883,35.63186,أشجار مثمرة التفاح البندورة خيار مقتي بندوره كوسا فاصوليا,كل السنة,إنتاج متوسط,"أخرى الأعشاب المجففة (مثل الزعتر) المربيات أو المحفوظات الخضروات المخللة الخيار، المقدوس) زيت الزيتون العسل دبس العنب",معظم المنازل (60–80%),دجاج بيّاض بط  ديك رومي  ,بين 20 و50,علف تجاري جاهز مخلفات منزلية أو زراعية مزيج بين الاثنين
