القرية:,Y,X,حجم الزراعة:,نوع التربة:,التغيرات المناخية:,تأثير الغيرات المناخية:
الباروك,33.700328,35.665814,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة رملية طينية  طمية ( ورملية) كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة الصقيع موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية  زيادة الآفات والأمراض صعوبات التلقيح والإثمار لا يوجد تأثير كبير
البيره,33.72637,35.642204,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض
الجاهليه,33.669234,35.506372,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض
الدامور,33.7872496,35.4742739,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة رملية  طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض  صعوبات التلقيح والإثمار
الدبيه,33.670542,35.478311,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
السعديات,33.691676,35.420882,"أكثر من 2 هكتار (> 20,000 متر مربع)",تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج  زيادة الآفات والأمراض صعوبات في التلقيح والإثمار
السمقانيه,33.681278,35.584758,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
الكحلونيه,33.649213,35.584634,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية)  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج  تأخير في المواسم الزراعية زيادة الآفات والأمراض صعوبات التلقيح والإثمار
المشرف,33.71777,35.44606,"أقل من 1 هكتار (< 10,000 متر مربع)",تربة رملية  طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية  زيادة الآفات والأمراض
المطله,33.609922,35.536232,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية),ارتفاع درجات الحرارة نقص هطول الأمطار,انخفاض الإنتاج تأخير في المواسم الزراعية
المغيزيه,33.605784,35.458423,أقل من 5 دونم (< 5000 متر مربع),تربة طينية,نقص هطول الأمطار زيادة الصقيع,انخفاض الإنتاج صعوبات في التلقيح والإثمار
الورهانيه,33.732563,35.675787,أقل من 5 دونم (< 5000 متر مربع),تربة طمية ( طينية ورملية)  كلسية,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر الصقيع,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض  صعوبات التلقيح والإثمار
باتر,33.599501,35.609769,"أكثر من 1 هكتار (> 10,000 متر مربع)",تربة رملية طمية ( طينية ورملية) ,ارتفاع درجات الحرارة نقص هطول الأمطار زيادة موجات الحر,انخفاض الإنتاج تأخير في المواسم الزراعية زيادة الآفات والأمراض  صعوبات التلقيح والإثمار
