القرية:,Y,X,   تقنيات الزراعة التجديدية:,  أنواع محسنات التربة:, الاسمدة الكيميائية:,مكافحة الآفات:, المبيدات الكيميائية:
الباروك,33.695838,35.670304, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية | روث حيواني | كمبوست عضوي | ,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية |  مكافحة فيزيائية مصائد أبواب مزدوجة | مبيدات محلية الصنع | مكافحة كيميائية مبيدات,اعتماد جزئي
البيرة,33.72188,35.646694, باستخدام مواد عضوية,أسمدة كيميائية |  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
الجاهلية,33.664744,35.510862, باستخدام مواد عضوية | دمج المخصبات الحيوية,أسمدة كيميائية,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
الدامور,33.7827596,35.4787639, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية  | روث حيواني |  كمبوست عضوي |مخصبات حيوية | ,اعتماد جزئي,مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة فيزيائية مصائد أبواب مزدوجة... | مكافحة كيميائية مبيدات,اعتماد جزئي
الدبية,33.666052,35.482801,مكافحة حيوية للآفات التسميد العضوي,مخصبات حيوية,اعتماد جزئي,مكافحة كيميائية مبيدات| مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد جزئي
الدبيه,33.677016,35.429031, باستخدام مواد عضوية التسميد العضوي,أسمدة كيميائية |  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات| مبيدات محلية الصنع,اعتماد كلي
السعديات,33.687186,35.425372, باستخدام مواد عضوية,أسمدة كيميائية  | روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات | مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد كلي
السمقانية,33.676788,35.589248, باستخدام مواد عضوية التسميد العضوي,روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد كلي
الكحلونية,33.718891,35.668402, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية| روث حيواني | كمبوست عضوي | مخصبات حيوية |     ,اعتماد جزئي,مبيدات محلية الصنع | مكافحة بيولوجية أعداء طبيعيون مبيدات حيوية | مكافحة كيميائية مبيدات | مبيدات حيوية مبيدات محلية الصنع,اعتماد جزئي
المختارة,33.654373,35.612749,التسميد العضوي,أسمدة كيميائية  كمبوست عضوي,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
المشرف,33.71328,35.45055,تقليل أو عدم الحراثة  باستخدام مواد عضوية التسميد العضوي | دمج بقايا المحاصيل/الأعشاب,روث حيواني | كمبوست عضوي  روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات,اعتماد جزئي
المطلة,33.605432,35.540722,,,لا يتم استخدامها,مبيدات محلية الصنع,لا يتم استخدامها
المغيزيه,33.601294,35.462913, باستخدام مواد عضوية مكافحة حيوية للآفات التسميد العضوي,أسمدة كيميائية   روث حيواني,اعتماد جزئي,مكافحة كيميائية مبيدات مبيدات محلية الصنع,اعتماد جزئي
الورهانية,33.728073,35.680277, التسميد العضوي | إعادة تدوير نفايات الطعام/الكمبوست| تدوير المحاصيل | مكافحة حيوية للآفات | تقليل أو عدم الحراثة | محاصيل غطائية ,أسمدة كيميائية |  روث حيواني | مخصبات حيوية,اعتماد جزئي,مبيدات محلية الصنع | مكافحة كيميائية مبيدات | مكافحة فيزيائية مصائد أبواب مزدوجة...,اعتماد جزئي
