القرية:,Y,X,المحصول:,اشهر الزراعة:,ريّ المحصول:,مصدر مياه الريّ الرئيسي:,توفر المياه:, أشهر شح المياه:
الباروك,33.709308,35.670304,"التفاح , البندورة من شهر والبندورة بندورة خيار خضار و فاكهة دراق ملفوف",آب  ايلول تموز حزيران,كل يومين  مرة أسبوعياً ١٥ يوم مرتين,بئر جوفي قنوات ري  نقل المياه بالصهاريج نهرمجرى مائي,أحياناً كافية,آب ايلول   تموز
البيره,33.73535,35.646694,,,كل يومين,قنوات ري,أحياناً كافية,
الجاهليه,33.678214,35.510862,,أيار تموز,مرة أسبوعياً  مرتين,قنوات ري,نادراً ما تكون,تموز حزيران و آب
الدامور,33.7962296,35.4787639,,تشرين الثاني شباط  حزيران من الاول لغاية اذار نيسان,كل يومين  مرة أسبوعياً ١٥ يوم مرتين,بئر جوفي  قنوات ري نهرمجرى مائي,أحياناً كافية,آب و ايلول تموز وآب حزيران
الدبيه,33.679522,35.482801,,,غير مروي  مرتين أسبوعياً,نقل المياه بالصهاريج,نادراً ما تكون,أشهر الصيف
السعديات,33.700656,35.425372,,,مرتين أسبوعياً,بئر جوفي,أحياناً كافية,آبتداء من شهر ايلول لغاية تشرين الثاني
السمقانيه,33.690258,35.589248,,نيسان أيار,مرة أسبوعياً,قنوات ري,أحياناً كافية,ايلول
الكحلونيه,33.732361,35.668402,الخضار  الزيتون رمان زيتون تين مقتي نصوب,تشرين الثاني  نيسان,كل يومين  مرة أسبوعياً شهر ١٥ يوم مرتين,فقط مياه الأمطار   تجميع نقل المياه بالصهاريج,أحياناً كافية,أشهر الصيف
المشرف,33.72675,35.45055,الموز والأفوكادو  موز أفوكادو,تشرين الأول نيسان  حزيران,مرة كل ١٥ يوم,نهرمجرى مائي,أحياناً كافية, شهري تموز وآب
المطله,33.618902,35.540722,,ايلول,مرتين أسبوعياً,فقط مياه الأمطار,أحياناً كافية,ايلول
المغيزيه,33.614764,35.462913,,كانون الأول آذار,مرة أسبوعياً,اشتراك بمياه الدوله,أحياناً كافية,شهري آب ايلول
الورهانيه,33.741543,35.680277,التفاح والدراق,ايلول,غير مروي  مرة كل ١٥ يوم,بئر جوفي  فقط مياه الأمطار نقل المياه بالصهاريج قنوات ري,أحياناً كافية,آب ايلول تموز
