القرية:,Y,X,المحاصيل الرئيسية:,توقيت المحاصيل:,مستوى الانتاج:,المنتجات التقليدية الرئيسية:,نسبة المشاركين في تحضير المؤونة:,انواع الحيوانات:,عدد الطيور:,نوع العلف:
Mazboud,33.612411,35.485018,"Avoca green olives, citrus fruits, avocado and carob",June July August,Small production,"Olive oil Pickled vegetables (e.g. cucumber, maqdous) Dried herbs Thyme Jams or preserves Honey Dairy products Labneh, cheese)",Some homes (30–60%),"Rabbits, chickens, layers, chickens (meat), ducks",Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Daraya El Chouf,33.652113,35.502321,"Vegetables, vegetables, beans, chickpeas, thyme, olives, tomatoes, cucumber, lettuce, parsley, seedlings",June July August,Small production,"Olive oil Pickled vegetables (such as cucumber, maqdous) Other dried herbs (thyme) Dairy products (labneh, cheese)",Most homes (60–80%),"Sheep, laying hens, ducks, turkey, chicken (meat)",Between 51 and 100,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Aalman,33.598699,35.407042,Citrus and Avocado Cream Banana Jujube Clementine Lemon Citrus Olive Lemon Cream Caronbola Monster Fruit Clementine Mandarin,All year,Small production,"Other dried herbs (such as thyme), olive oil, pickled vegetables, cucumber, maqdous, honey, dairy products, labneh, cheese.",Most homes (60–80%),Goat Layer Chicken Chicken (Meat),And 50,"Ready-made commercial feed, household or agricultural waste, grains, a mixture of the two"
Kfarfakoud,33.703354,35.537408,"Beans and squash, onions, chinar trees, and olives. Beans, fava beans, pasta, flora, olives",All year,Average production,"Dried herbs (such as thyme) Dairy products (labneh, cheese) Olive oil",Some homes (30–60%),Other laying hens,Less than 20,Domestic or agricultural waste is a mixture of the two
Niha El Chouf,33.610511,35.621215,"Fruit trees, olives and vegetables",June July August,Average production,"Olive oil, pickled vegetables (such as cucumber, maqdous), dried herbs, thyme, honey, grape molasses, jams or preserves, dairy products, labneh, cheese)",Some homes (30–60%),Bees,,
Ain Zahlta,33.750281,35.693978,Apples and pears are legumes,June July August,Average production,"Jams or preserves Olive oil Pickled vegetables (e.g. cucumber, maqdous) Dried herbs (thyme) Other",Most homes (60–80%),My chicken,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste"
Al-Debbiyeh,33.675032,35.482801,"Fruit trees and vegetables, tomatoes, cucumbers, beans, all seedlings",June July August,Small production medium production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme, jams or preserves",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Al-Saadiyat,33.696166,35.425372,"There are no two crops, one crop. Guava trees",June July August,Small production big production,"Pickled vegetables (eg cucumber, maqdous) Jams or preserves",Few houses (< 30%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste"
Al-Moshref,33.72226,35.45055,"Banana, lemon, avocado, cream, lychee, banana, avocado",All year,Large production Medium production,"Olive oil, dried herbs (such as thyme), pickled vegetables, cucumbers, maqdoos)",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Haret Jandal El Chouf,33.618407,35.609278,Olives and vegetables,From September to November,Small production,"Olive oil, pickled vegetables (eg cucumber, maqdous), jams or preserves",Some homes (30–60%),Laying hens,Less than 20,A mix between the two
Deir Dourit,33.688431,35.531821,Beans and fruits,May to November,Average production,"Pickled vegetables (such as cucumber, maqdoos)",Few houses (< 30%),Laying hens,Less than 20,A mix between the two
Aanout,33.631719,35.512598,"Tomatoes, cowpeas, cucumber, zucchini, cabbage, lettuce, beans, chickpeas, cowpea, pumpkin, and kidney beans",June July August,Small production,"Olive oil, dried herbs (such as thyme), honey, pickled vegetables, cucumbers, maqdoos)",Some homes (30–60%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Ain Qani,33.65322,35.61163,I hate Lubia,,Small production,"Olive oil, pickled vegetables (such as cucumber, maqdous), jams or preserves, honey, dairy products, labneh, cheese)",Almost all homes,Laying hens,Between 20 and 50,A mix between the two
Ktermaya El Chouf,33.626041,35.454315,Khasar,December,Small production,"Olive oil, dried herbs (such as thyme), dairy products (labneh, cheese)",Few houses (< 30%),Laying hens,Less than 20,Ready commercial feed
Mokhtara,33.663353,35.612749,Apple olives,June July August,Average production,Other honey,Some homes (30–60%),Laying hens,Less than 20,A mix between the two
Jadideh El Chouf,33.665327,35.604515,Lettuce and abhorrence,June July August,Average production,Olive oil honey,Few houses (< 30%),"Layer chicken, turkey",Between 51 and 100,A mix between the two
Kfarnabrakh,33.700883,35.63186,"Fruit trees, apples, tomatoes, cucumbers, tomatoes, zucchini, beans",All year,Average production,"Others Dried herbs (such as thyme) Jams or preserves Pickled vegetables (cucumbers, maqdous) Olive oil Honey Grape molasses",Most homes (60–80%),"Laying chicken, duck, turkey",Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Al-Jahiliyeh,33.673724,35.510862,"Tomatoes, cucumber and beans",May June July,Small production,"Others olive oil Dairy products (such as labneh, cheese)",Some homes (30–60%),Layer chicken (meat),Between 20 and 50,"Ready-made commercial feed, household or agricultural waste"
Kahlouniyeh El Chouf,33.653009,35.588746,"Olive trees, vegetables, tomatoes, cucumbers, everything",June July August,Small production,"Pickled vegetables (such as cucumber, maqdous) Dried herbs Thyme) Jams or preserves Dairy products Labneh, cheese Olive oil Honey",Most homes (60–80%),Layer chicken (meat),Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
Btameh,33.664374,35.623642,"Olives, agricultural tent, tomatoes, parsley, cucumber, seasonal vegetables, tomatoes",June July August,Small production medium production,"Jams or preserves Olive oil Dried herbs (such as thyme) Grape molasses Dairy products Labneh, cheese)",Some homes (30–60%),Layer chicken Free chicken (meat).,Between 20 and 50,Ready-made commercial feed is a mixture of the two
Majdel El Meouch,33.725605,35.622299,Tomatoes are wheat and leafy vegetables,,Great production,"Olive oil, pickled vegetables (such as cucumber, maqdous), dried herbs, thyme, dairy products, labneh, cheese, etc.",Most homes (60–80%),Layer chicken (meat),More than 100,Ready commercial feed
Al-Barouk,33.704818,35.670304,"Tomatoes and vegetables, apples, peaches, some mountain summer crops, cucumbers, apples, vegetables and fruits, cabbage",June July August,"Small production, large production, medium production","Pickled vegetables (such as cucumber, maqdous) Dried herbs Thyme Jams or preserves Honey Grape molasses Dairy products Labneh, cheese Other",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two, wheat"
Damour,33.7917396,35.4787639,"The second avocado is banana, avocado, strawberry, tomato, lemon, banana and avocado",June July August,"Small production, large production, medium production","Other dried herbs (such as thyme), jams or preserves, olive oil",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two
Al-Kahlouniyeh,33.653703,35.589124,"Seasonal vegetables, olives and figs, tomatoes, cucumbers, vegetables, olives, figs, grapes, beans, pomegranates, and more recently, mufti sabir, thyme, and olives.",June July August,Small production medium production,"Dried herbs (such as thyme) Other jams or preserves Olive oil Pickled vegetables Cucumbers, maqdous) Grape molasses",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two"
