القرية:,Y,X,حجم الزراعة:,نوع التربة:,التغيرات المناخية:,تأثير الغيرات المناخية:
Al-Barouk,33.700328,35.665814,"More than 1 hectare (>10,000 m2)","Sandy, loamy (and sandy) calcareous soil","High temperatures, decreased precipitation, increased frost, heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting, no significant impact"
Al-Bireh,33.72637,35.642204,"More than 2 hectares (>20,000 m2)",Loamy soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases"
Al-Jahiliyeh,33.669234,35.506372,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation","Decreased production, delay in agricultural seasons, increased pests and diseases"
Damour,33.7872496,35.4742739,"More than 2 hectares (>20,000 m2)",Sandy loam soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Al-Debbiyeh,33.670542,35.478311,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Al-Saadiyat,33.691676,35.420882,"More than 2 hectares (>20,000 m2)",Loamy soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, increase in pests and diseases, difficulties in pollination and fruiting"
Al-Simqaniyeh,33.681278,35.584758,"Less than 1 hectare (< 10,000 m2)",Loamy soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Al-Kahlouniyeh,33.649213,35.584634,Less than 5 dunums (< 5000 square metres),Loamy (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Al-Moshref,33.71777,35.44606,"Less than 1 hectare (< 10,000 m2)",Sandy loam soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases"
Al-Mtalleh,33.609922,35.536232,Less than 5 dunums (< 5000 square metres),Loamy soil (clay and sandy),"High temperatures, lack of precipitation",Low production delay in agricultural seasons
Al-Mughayziyeh,33.605784,35.458423,Less than 5 dunums (< 5000 square metres),Clay soil,Decreased precipitation increased frost,"Low production, difficulties in pollination and fruiting"
Al-Warhaniyeh,33.732563,35.675787,Less than 5 dunums (< 5000 square metres),Loamy (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Bater,33.599501,35.609769,"More than 1 hectare (>10,000 m2)",Sandy loam soil (clay and sandy),"High temperatures, decreased rainfall, and increased heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Barouk,33.70392,35.667094,"More than 1 hectare (>10,000 m2)",Sandy clay soil,"High temperatures, decreased rainfall, and increased heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases"
Btalloun,33.698393,35.651094,"More than 1 hectare (>10,000 m2)",Sandy loam soil (clay and sandy),"High temperatures, decreased rainfall, increased heat waves, frost, weather changes and fluctuations","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting"
Barja,33.645555,35.419634,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, decreased rainfall, and increased heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases"
