القرية:,Y,X,تقنيات الزراعة التجديدية:,أنواع محسنات التربة:,الاسمدة الكيميائية:,مكافحة الآفات:,المبيدات الكيميائية:
Al-Barouk,33.695838,35.670304,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers | Animal manure Organic compost |,Partial credit,"Biological control, natural enemies, biocides  Physical control double door traps | Homemade pesticides | Chemical control pesticides",Partial credit
Al-Bireh,33.72188,35.646694,Using organic materials,Chemical fertilizers |  Animal manure,Partial credit,Chemical control pesticides,Partial credit
Al-Jahiliyeh,33.664744,35.510862,Using organic materials Incorporation of biofertilizers,Chemical fertilizers,Partial credit,Chemical control pesticides,Partial credit
Damour,33.7827596,35.4787639,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers | Animal manure  Organic compost | biofertilizers |,Partial credit,"Biological control, natural enemies, biocides Physical control double door traps... | Chemical control pesticides",Partial credit
Al-Debbiyeh,33.666052,35.482801,Biological pest control with organic fertilization,Biofertilizers,Partial credit,Chemical control pesticides Anti-physical traps double doors...,Partial credit
Al-Debbiyeh,33.677016,35.429031,Using organic materials for organic fertilization,Chemical fertilizers |  Animal manure,Partial credit,Chemical control pesticides Homemade pesticides,Total dependence
Al-Saadiyat,33.687186,35.425372,Using organic materials,Chemical fertilizers | Animal manure,Partial credit,Chemical control pesticides | Anti-physical traps double doors...,Total dependence
Al-Simqaniyeh,33.676788,35.589248,Using organic materials for organic fertilization,Animal manure,Partial credit,Chemical control pesticides,Total dependence
Al-Kahlouniyeh,33.718891,35.668402,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers| Animal manure Organic compost | Biofertilizers |,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides Chemical control pesticides | Homemade biopesticides",Partial credit
Al-Mokhtara,33.654373,35.612749,Organic fertilization,"Chemical fertilizers, organic compost",Partial credit,Chemical control pesticides,Partial credit
Al-Moshref,33.71328,35.45055,Reducing or not tilling using organic materials. Organic fertilization Incorporation of crop residues/weeds,Animal manure Organic compost of animal manure,Partial credit,Chemical control pesticides,Partial credit
Al-Mtalleh,33.605432,35.540722,,,It is not used,Homemade pesticides,It is not used
Al-Mughayziyeh,33.601294,35.462913,Using organic materials to control biological pests and organic fertilization,"Chemical fertilizers, animal manure",Partial credit,Chemical control pesticides Homemade pesticides,Partial credit
Al-Warhaniyeh,33.728073,35.680277,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers |  Animal manure Biofertilizers,Partial credit,Homemade pesticides | Chemical control pesticides | Anti-physical traps double doors...,Partial credit
Bater,33.595011,35.614259,Using Organic Materials Cover Crops Organic Fertilization Crop Rotation | Reduce or no tillage Reducing or no-tillage incorporating biofertilizers,Chemical fertilizers |  Animal manure Animal manure,Partial credit,Chemical control pesticides | Biological control of natural enemies Biocides,Partial credit
Btalloun,33.693903,35.655584,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,| Chemical fertilizers|  Organic compost | Animal manure,Partial credit,Homemade pesticides | Biological control of natural enemies | Biopesticides | Physical control double door traps... | Chemical control pesticides |,Partial credit
Barja,33.641065,35.424124,Organic coverage  Using organic materials for organic fertilization Reduce or no tillage using organic materials,Chemical fertilizers |  Animal manure Organic compost |,Partial credit,Chemical control pesticides,Partial credit
Breih,33.707677,35.653917,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Organic compost Biofertilizers Elemental sulfur,Partial credit,Biological control Natural enemies Biopesticides Physical control Double door traps...,Partial credit
Breih El Chouf,33.716078,35.659813,"Using organic materials, food waste recycling/compost, and organic composting",Organic compost  Animal manure,Partial credit,Biological control Natural enemies Biopesticides Physical control Double door traps...,Partial credit
Bshtfine,33.708825,35.557639,Using organic materials for organic fertilization Reduce or no tillage,Chemical fertilizers | Animal manure,Partial credit,Chemical control pesticides,Partial credit
Btameh,33.655394,35.623642,Organic fertilization and crop rotation  Using organic materials for organic fertilization,Organic compost | Organic compost | Animal manure,Partial credit,Homemade pesticides | Chemical control pesticides,Partial credit
Btameh,33.662688,35.639126,Organic Fertilization |  Using organic materials for organic fertilization,Animal manure Organic compost | Animal manure,It is not used,Chemical control pesticides,Partial credit
Baatharan,33.630581,35.619518,,Chemical fertilizers|  Organic compost  Animal manure,Partial credit,Chemical control pesticides,Total dependence
Baaqline,33.67203,35.56628,"Organic Fertilization |  Using organic materials  Using organic materials, organic mulching, organic fertilization and crop rotation",Chemical fertilizers|   Animal manure Organic compost |,Partial credit,Chemical control pesticides,Partial credit
Bkifa,33.583396,35.493755,Using organic materials,Organic compost,Partial credit,Chemical control pesticides,Partial credit
Jadideh El Chouf,33.656347,35.604515,Incorporation of biofertilizers,Animal manure,It is not used,Chemical control pesticides,Partial credit
Haret Jandal El Chouf,33.609427,35.609278,Using organic materials for organic fertilization,Chemical fertilizers|   Animal manure,Partial credit,Chemical control pesticides,Total dependence
Khirbet Bosri,33.576496,35.510269,Using organic materials for organic fertilization,Organic compost  Animal manure,Partial credit,Chemical control pesticides,It is not used
Khraybeh El Chouf,33.637458,35.642387,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers|   Animal manure Organic compost |,Partial credit,Chemical control pesticides Homemade pesticides |  Biological control of natural enemies Biocides,Partial credit
