القرية:,Y,X,المحصول:,اشهر الزراعة:,ريّ المحصول:,مصدر مياه الريّ الرئيسي:,توفر المياه:,أشهر شح المياه:
Al-Barouk,33.709308,35.670304,"Apples, tomatoes from the month, tomatoes, tomatoes, cucumbers, vegetables and fruits, peaches, cabbage",August September July June,"Every two days, once a week, 15 days, twice","Underground well, irrigation channels, water transport by tanks, river, stream",Sometimes enough,August September July
Al-Bireh,33.73535,35.646694,,,Every two days,Irrigation channels,Sometimes enough,
Al-Jahiliyeh,33.678214,35.510862,,May July,"Once a week, twice",Irrigation channels,It rarely is,"July, June and August"
Damour,33.7962296,35.4787639,,November February June from 1st to April,"Every two days, once a week, 15 days, twice","Underground well, irrigation channels, river, watercourse",Sometimes enough,"August, September, July and August June"
Al-Debbiyeh,33.679522,35.482801,,,Not irrigated twice a week,Water transportation by tankers,It rarely is,Summer months
Al-Saadiyat,33.700656,35.425372,,,Twice a week,Underground well,Sometimes enough,Starting from September until November
Al-Simqaniyeh,33.690258,35.589248,,April May,Once a week,Irrigation channels,Sometimes enough,September
Al-Kahlouniyeh,33.732361,35.668402,"Vegetables, olives, pomegranate, olives, figs, makti, saffron",November April,"Every two days, once a week, twice a month, 15 days",Only rainwater is collected and transported by tankers,Sometimes enough,Summer months
Al-Moshref,33.72675,35.45055,Banana and avocado Banana avocado,October April June,Once every 15 days,"River, water stream",Sometimes enough,The months of July and August
Al-Mtalleh,33.618902,35.540722,,September,Twice a week,Only rain water,Sometimes enough,September
Al-Mughayziyeh,33.614764,35.462913,,December March,Once a week,Subscription to state water,Sometimes enough,August-September months
Al-Warhaniyeh,33.741543,35.680277,Apples and peaches,September,Not irrigated once every 15 days,"Underground well, rainwater only, water transportation by tanks, irrigation channels",Sometimes enough,August September July
Bater,33.608481,35.614259,"Pomegranate, olive, broad bean, pumpkin",September January June,Not irrigated once a week,"River, water stream",Sometimes enough,August September July
Btalloun,33.707373,35.655584,"Apples, cherries, tomatoes, apples, hashish, walnuts, olives, peaches, figs",September July August June,"Once a week, twice","Irrigation channels, transporting water with tanks, a river, another watercourse, from the Barouk spring, an underground well",Sometimes enough,Summer months
Barja,33.654535,35.424124,,February July,"Not irrigated once a week, twice a week","Underground well, water transport by tankers",always,Summer months
Breih,33.721147,35.653917,Apple tree tomatoes,May June September February,"Once every 15 days, twice a week",Irrigation channels,Sometimes enough,August September
Bshtfine,33.722295,35.557639,,,Not irrigated once a week,"Underground well, water transport by tankers",Sometimes enough,July
Btameh,33.668864,35.623642,Olives cucumber tomatoes,April November,"Not irrigated every two days, twice a week, twice a week","Irrigation canals, water transportation by tankers, water transportation by tankers",Sometimes enough,Summer months
Baatharan,33.644051,35.619518,Mature trees,,untold,Only rain water,Completely insufficient,Summer months
Baaqline,33.6855,35.56628,"Cucumber, tomato, olive, vegetable, zucchini",,"Not irrigated every two days, once a month, twice a week","Underground well, drinking water is stored in the state of the municipality",Sometimes enough,Summer months
Bkifa,33.596866,35.493755,,,Once every 15 days,Underground well,Sometimes enough,Summer months
Jadideh El Chouf,33.669817,35.604515,,,Every two days,Irrigation channels,It rarely is,Summer months
Haret Jandal El Chouf,33.622897,35.609278,,,Once every 15 days,"River, water stream",always,Summer months
Khirbet Bosri,33.589966,35.510269,,,untold,Only rainwater from an underground well,Sometimes enough,August September
Khraybeh El Chouf,33.650928,35.642387,vegetables,,Not irrigated once a week,"An underground well, a private spring, a river, a stream, other, pond water (municipal)",Sometimes enough,Summer months
Daraya El Chouf,33.656603,35.502321,Olives with cucumber round,,"Not irrigated every two days, twice a week","Rainwater and water shared by the state, transporting water in tanks",Sometimes enough,May June July August September
Dmit El Chouf,33.702675,35.505803,Tomato beans,,"Once a week, twice","Irrigation channels, a private spring, water from the ground, water transportation in tanks",Sometimes enough,July August September
