feature_id,theme,longitude,latitude,water_data_source,water_القرية,water_المحصول,water__4,water__5,water__6,water__7,water__8,water_مصدر مياه الريّ الرئيسي,water_توفر المياه,energy_data_source,energy_القرية,energy__3,energy__4,energy__5,energy__6,energy__7,energy__8,energy__9,energy__10,energy__11,energy__12,food_data_source,food_القرية,food__3,food__4,food__5,food__6,food__7,food__8,food__9,food__10,general_info_data_source,general_info_القرية,general_info__3,general_info__4,general_info__5,general_info__6,general_info_حجم الزراعة,general_info_نوع التربة,regenerative_agriculture_data_source,regenerative_agriculture_القرية,regenerative_agriculture__3,regenerative_agriculture__4,regenerative_agriculture__5,regenerative_agriculture__6,regenerative_agriculture__7,regenerative_agriculture_محسنات التربة,regenerative_agriculture_الاعتماد على الاسمدة الكيميائية,regenerative_agriculture_مكافحة الآفات,coord_hash,village_sample_size,water_scarcity_months,water_sufficiency_score,has_solar,manual_labor_pct,crop_diversity,production_level_score,has_animals,farm_size_score,climate_aware,regen_technique_count,fertilizer_reliance_score,pesticide_reliance_score,resource_intensity,target_regen_adoption,target_water_risk,small_farm,small_production,target_economic_vuln,high_manual_labor,medium_large_farm,target_labor_shortage,target_climate_vuln,water_source_Only rain water,"water_source_River, water stream",water_source_Underground well,water_source_Water transportation by tankers,water_source_other,soil_type_Clay soil,soil_type_Loamy (clay and sandy) calcareous soil,soil_type_Loamy soil (clay and sandy),soil_type_Sandy clay soil,soil_type_other,energy_source_Diesel generator electricity from the grid manually,energy_source_Electricity from the grid,energy_source_Manually,energy_source_Solar energy,energy_source_other
Water_0_ad3baeef,Water,35.670304,33.709308,original,Al-Barouk,"Apples, tomatoes from the month, tomatoes, tomatoes, cucumbers, vegetables and fruits, peaches, cabbage",August September July June,"Every two days, once a week, 15 days, twice",other,Sometimes enough,August September July,,,original,Al-Warhaniyeh,Manually,,71.43,0.0,28.57,0.0,0.0,1.0,0.0,20.0,original,Barouk,Tomato cabbage,May of Manon I,Average production,"Pickled vegetables (eg cucumber, maqdous) Other jams or preserves",Most homes (60–80%),,,,original,Barouk,"More than 1 hectare (>10,000 m2)",Sandy clay soil,"High temperatures, decreased rainfall, and increased heat waves","Decreased production, delay in agricultural seasons, increased pests and diseases",,,original,Al-Kahlouniyeh,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers| Animal manure Organic compost | Biofertilizers |,Partial credit,"Homemade pesticides | Biological control, natural enemies, biocides Chemical control pesticides | Homemade biopesticides",Partial credit,,,,35.670304_33.709308,1,0.0,2.0,1,71.43,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.1428666666666667,1,0,0,0,0,1,1,1,1,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
Water_1_41f30779,Water,35.646694,33.73535,original,Al-Bireh,,,Every two days,Irrigation channels,Sometimes enough,,,,original,Al-Bireh,Manually,Manually,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,original,Al-Bireh,"Tomatoes, cucumber, parsley, green beans",June July August,Average production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme)",Some homes (30–60%),,,,,,,other,,,,,,,,,,,,,,,35.646694_33.73535,1,0.0,2.0,0,100.0,4.0,1.0,0,1.0,0,0.0,1.0,1.0,1.3333333333333333,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Water_2_fa0802b2,Water,35.510862,33.678214,original,Al-Jahiliyeh,,May July,"Once a week, twice",Irrigation channels,It rarely is,"July, June and August",,,original,Al-Jahiliyeh,Manually,Manually,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,original,Al-Jahiliyeh,"Tomatoes, cucumber and beans",May June July,Small production,"Others olive oil Dairy products (such as labneh, cheese)",Some homes (30–60%),Layer chicken (meat),Between 20 and 50,"Ready-made commercial feed, household or agricultural waste",,,,other,,,,,,,,,,,,,,,35.510862_33.678214,1,0.0,2.0,0,100.0,2.0,1.0,1,1.0,0,0.0,1.0,1.0,1.3333333333333333,0,1,0,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Water_3_10620191,Water,35.4787639,33.7962296,original,Damour,,November February June from 1st to April,"Every two days, once a week, 15 days, twice",other,Sometimes enough,"August, September, July and August June",,,,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,original,Damour,"The second avocado is banana, avocado, strawberry, tomato, lemon, banana and avocado",June July August,"Small production, large production, medium production","Other dried herbs (such as thyme), jams or preserves, olive oil",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two,,,,other,,,,,,,,,,,,,,,35.4787639_33.7962296,1,0.0,2.0,0,50.0,6.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_4_2c365fe6,Water,35.482801,33.679522,original,Al-Debbiyeh,,,Not irrigated twice a week,Water transportation by tankers,It rarely is,Summer months,,,original,Al-Debbiyeh,Diesel generator electricity from the grid manually,One kilowatt-hour of electricity per week,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,original,Al-Debbiyeh,"Fruit trees and vegetables, tomatoes, cucumbers, beans, all seedlings",June July August,Small production medium production,"Olive oil, pickled vegetables (e.g. cucumber, maqdous), dried herbs, thyme, jams or preserves",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",,,,other,,,,,,,,,,,,,,,35.482801_33.679522,1,0.0,2.0,0,100.0,5.0,1.0,1,1.0,0,0.0,1.0,1.0,1.3333333333333333,0,1,0,1,0,1,0,0,0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
Water_5_e9cb60c2,Water,35.425372,33.700656,original,Al-Saadiyat,,,Twice a week,Underground well,Sometimes enough,Starting from September until November,,,original,Al-Saadiyat,Solar energy,Solar watches (if available),0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,original,Al-Saadiyat,"There are no two crops, one crop. Guava trees",June July August,Small production big production,"Pickled vegetables (eg cucumber, maqdous) Jams or preserves",Few houses (< 30%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste",,,,other,,,,,,,,,,,,,,,35.425372_33.700656,1,0.0,2.0,0,0.0,2.0,1.0,1,1.0,0,0.0,1.0,1.0,0.6666666666666666,0,0,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
Water_6_9d1142a3,Water,35.589248,33.690258,original,Al-Simqaniyeh,,April May,Once a week,Irrigation channels,Sometimes enough,September,,,original,Al-Simqaniyeh,other,,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,original,Al-Simqaniyeh,"Mountain tomatoes + beans, cucumbers and zucchini",June July August,Average production,"Olive oil, pickled vegetables (eg cucumber, maqdous), jams or preserves, honey",Most homes (60–80%),,,,,,,other,,,,,,,,,,,,,,,35.589248_33.690258,1,0.0,2.0,0,0.0,2.0,1.0,0,1.0,0,0.0,1.0,1.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Water_7_6d8768d8,Water,35.668402,33.732361,original,Al-Kahlouniyeh,"Vegetables, olives, pomegranate, olives, figs, makti, saffron",November April,"Every two days, once a week, twice a month, 15 days",other,Sometimes enough,Summer months,,,,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,original,Warhaniyeh,"More than 1 hectare (>10,000 m2)",Clay soil,"High temperatures, lack of precipitation",Decreased production Increased pests and diseases,,,original,Warhaniyeh,Using Organic Materials Food Waste Recycling/Compost Cover Crops Organic Composting Crop Recycling,Chemical fertilizers |  Animal manure,Partial credit,Chemical control pesticides,Total dependence,,,,35.668402_33.732361,1,0.0,2.0,0,50.0,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1,0,0,0,0,0,1,0,1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
Water_8_4fcd5d7b,Water,35.45055,33.72675,original,Al-Moshref,Banana and avocado Banana avocado,October April June,Once every 15 days,"River, water stream",Sometimes enough,The months of July and August,,,,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,original,Al-Moshref,"Banana, lemon, avocado, cream, lychee, banana, avocado",All year,Large production Medium production,"Olive oil, dried herbs (such as thyme), pickled vegetables, cucumbers, maqdoos)",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",,,,other,,,,,,,,,,,,,,,35.45055_33.72675,1,0.0,2.0,0,50.0,7.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
Water_9_1499af50,Water,35.540722,33.618902,original,Al-Mtalleh,,September,Twice a week,Only rain water,Sometimes enough,September,,,original,Al-Mtalleh,Solar energy,Solar watches (if available),0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,original,Al-Mtalleh,"Tomatoes, cucumbers and olives",From May to September,Small production,"Olive oil pickled vegetables (such as cucumber, maqdous)",Almost all homes,,,,,,,other,,,,,,,,,,,,,,,35.540722_33.618902,1,0.0,2.0,0,0.0,2.0,1.0,0,1.0,0,0.0,1.0,1.0,0.6666666666666666,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
